# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
757, 1762515311.585561, 692983.6963, 5339039.2854, 1.1212, 48.175220366, 11.596001772
758, 1762515311.622345, 692983.8089, 5339039.2298, 1.1194, 48.175219837, 11.596003263
759, 1762515311.654955, 692983.9478, 5339039.1614, 1.1171, 48.175219184, 11.596005103
760, 1762515311.697897, 692984.0928, 5339039.0898, 1.1145, 48.175218502, 11.596007022
761, 1762515311.730591, 692984.1354, 5339039.0686, 1.1137, 48.175218299, 11.596007587
762, 1762515311.762082, 692984.2446, 5339039.0139, 1.1117, 48.175217778, 11.596009031
763, 1762515311.789866, 692984.2630, 5339039.0046, 1.1113, 48.175217690, 11.596009275
764, 1762515311.825481, 692984.3738, 5339038.9488, 1.1092, 48.175217158, 11.596010742
765, 1762515311.868465, 692984.4894, 5339038.8906, 1.1070, 48.175216604, 11.596012272
766, 1762515311.910031, 692984.6330, 5339038.8179, 1.1041, 48.175215912, 11.596014172
767, 1762515311.931165, 692984.7721, 5339038.7468, 1.1013, 48.175215235, 11.596016014
768, 1762515311.970821, 692984.8095, 5339038.7275, 1.1005, 48.175215051, 11.596016509
769, 1762515311.997003, 692984.9133, 5339038.6739, 1.0982, 48.175214541, 11.596017882
770, 1762515312.018068, 692984.9271, 5339038.6668, 1.0979, 48.175214473, 11.596018065
771, 1762515312.054836, 692985.0374, 5339038.6096, 1.0954, 48.175213930, 11.596019523
772, 1762515312.096845, 692985.1510, 5339038.5506, 1.0928, 48.175213369, 11.596021027
773, 1762515312.124119, 692985.2834, 5339038.4814, 1.0898, 48.175212711, 11.596022779
774, 1762515312.155185, 692985.4034, 5339038.4178, 1.0870, 48.175212107, 11.596024365
775, 1762515312.183965, 692985.4586, 5339038.3882, 1.0858, 48.175211826, 11.596025095
776, 1762515312.218946, 692985.5678, 5339038.3292, 1.0833, 48.175211266, 11.596026539
777, 1762515312.255119, 692985.6765, 5339038.2705, 1.0807, 48.175210709, 11.596027976
778, 1762515312.309431, 692985.7969, 5339038.2058, 1.0778, 48.175210095, 11.596029568
779, 1762515312.333283, 692985.8123, 5339038.1975, 1.0774, 48.175210017, 11.596029771
780, 1762515312.364456, 692985.9457, 5339038.1252, 1.0742, 48.175209330, 11.596031535
781, 1762515312.387614, 692986.0758, 5339038.0547, 1.0710, 48.175208662, 11.596033255
782, 1762515312.423142, 692986.1173, 5339038.0316, 1.0701, 48.175208442, 11.596033805
783, 1762515312.460888, 692986.2261, 5339037.9708, 1.0675, 48.175207867, 11.596035241
784, 1762515312.504811, 692986.3383, 5339037.9081, 1.0650, 48.175207273, 11.596036725
785, 1762515312.536601, 692986.4709, 5339037.8340, 1.0620, 48.175206571, 11.596038476
786, 1762515312.566080, 692986.4897, 5339037.8235, 1.0616, 48.175206471, 11.596038725
787, 1762515312.599441, 692986.6415, 5339037.7374, 1.0585, 48.175205656, 11.596040730
788, 1762515312.629923, 692986.7457, 5339037.6776, 1.0565, 48.175205091, 11.596042106
789, 1762515312.650768, 692986.7589, 5339037.6700, 1.0563, 48.175205019, 11.596042281
790, 1762515312.708734, 692986.8789, 5339037.6010, 1.0541, 48.175204366, 11.596043866
791, 1762515312.735006, 692986.9788, 5339037.5437, 1.0523, 48.175203824, 11.596045186
792, 1762515312.762262, 692987.1070, 5339037.4701, 1.0501, 48.175203128, 11.596046878
793, 1762515312.790940, 692987.1250, 5339037.4596, 1.0497, 48.175203029, 11.596047117
794, 1762515312.823139, 692987.2750, 5339037.3721, 1.0472, 48.175202202, 11.596049098
795, 1762515312.852767, 692987.2942, 5339037.3609, 1.0468, 48.175202096, 11.596049351
796, 1762515312.903082, 692987.4913, 5339037.2450, 1.0437, 48.175201001, 11.596051954
797, 1762515312.926131, 692987.5058, 5339037.2366, 1.0435, 48.175200921, 11.596052145
798, 1762515312.956568, 692987.6352, 5339037.1607, 1.0417, 48.175200205, 11.596053852
799, 1762515312.987677, 692987.6547, 5339037.1492, 1.0415, 48.175200096, 11.596054110
800, 1762515313.021452, 692987.8004, 5339037.0626, 1.0398, 48.175199277, 11.596056034
